               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11485,            0.026708,                   0,           0.0015485,              0.2963,           0.0030281,          0.00080482,             0.10319,            0.018501,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10644,            0.024505,                   0,           0.0013682,             0.25926,           0.0034124,          0.00087029,            0.099666,            0.016378,                   0,            0.088296,           0.0012957,           0.0012957
                   2,            0.099011,            0.022061,                   0,           0.0053631,              0.2963,            0.018479,           0.0061063,            0.094621,            0.014992,                   0,            0.081987,           0.0019868,           0.0019868
                   3,            0.088345,             0.02209,                   0,            0.017169,             0.25926,            0.018826,             0.00461,            0.092861,            0.013662,                   0,            0.075673,           0.0026733,           0.0026733
                   4,            0.083421,            0.021351,                   0,            0.016019,             0.18519,            0.022117,           0.0055484,            0.082075,            0.013336,                   0,            0.069355,           0.0033551,           0.0033551
                   5,            0.075837,            0.019177,                   0,             0.11709,             0.25926,            0.079648,            0.025762,            0.075935,            0.012913,                   0,            0.063032,           0.0040324,           0.0040324
                   6,            0.072634,             0.02126,                   0,             0.18808,              0.2405,              0.0881,            0.023339,            0.067472,            0.012783,                   0,            0.056705,            0.004705,            0.004705
                   7,            0.071748,            0.020132,                   0,            0.018493,             0.33333,            0.077063,            0.023279,            0.064933,            0.012272,                   0,            0.050373,           0.0053729,           0.0053729
                   8,            0.065928,            0.019134,                   0,            0.027799,             0.74074,             0.06411,            0.018058,            0.064568,            0.011642,                   0,            0.044036,           0.0060363,           0.0060363
                   9,            0.064159,            0.021622,                   0,            0.043281,              0.7037,             0.14969,            0.043143,            0.063738,            0.011292,                   0,            0.037695,           0.0066951,           0.0066951
                  10,            0.053111,            0.017438,                   0,            0.027848,             0.77778,             0.17866,            0.027067,            0.070474,            0.010523,                   0,            0.031349,           0.0073492,           0.0073492
                  11,            0.059844,             0.02114,                   0,             0.52795,             0.14815,             0.32172,             0.11803,             0.05658,             0.01158,                   0,            0.024999,           0.0079987,           0.0079987
                  12,            0.055642,            0.019622,                   0,             0.58376,              0.1051,             0.35415,             0.13506,             0.05489,            0.011793,                   0,            0.018644,           0.0086436,           0.0086436
                  13,            0.057402,            0.019003,                   0,                   1,             0.13311,             0.23226,             0.10264,            0.066089,             0.01067,                   0,            0.012284,           0.0092839,           0.0092839
                  14,            0.055528,            0.016429,                   0,             0.49748,             0.14815,             0.22772,            0.083928,            0.064046,            0.010773,                   0,            0.009538,            0.009538,            0.009538
                  15,            0.057154,            0.022993,                   0,             0.99277,             0.22222,             0.36722,             0.13398,            0.060192,            0.010773,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.051063,            0.016184,                   0,             0.82136,             0.25926,             0.30342,             0.17676,            0.062807,            0.010372,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.049803,            0.019765,                   0,             0.57057,             0.25926,             0.36051,             0.15903,            0.059671,            0.010542,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.053159,            0.017476,                   0,             0.48473,             0.25926,             0.39415,             0.15703,            0.055214,            0.010807,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.045029,            0.018228,                   0,             0.66053,              0.2888,             0.49393,             0.15211,            0.051702,            0.010603,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.043597,            0.016327,                   0,             0.75083,              0.2963,             0.47335,             0.18292,            0.051313,            0.010462,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.045259,            0.021277,                   0,             0.83314,             0.33333,             0.59126,             0.27092,            0.047327,            0.010149,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039336,            0.014772,                   0,             0.65915,             0.40741,             0.66971,             0.31864,            0.053254,           0.0094738,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.048511,            0.016684,                   0,             0.94005,             0.58125,             0.79762,              0.3964,            0.041182,           0.0098705,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.042219,            0.015882,                   0,             0.63624,             0.48148,             0.62499,             0.18001,            0.052941,           0.0091724,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.04593,            0.017643,                   0,             0.68671,             0.51852,             0.75889,              0.4054,            0.038239,           0.0098362,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.042621,            0.016687,                   0,             0.80158,             0.59259,             0.77302,             0.33807,            0.044427,           0.0090733,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.041678,            0.015046,                   0,             0.74042,             0.66667,             0.75567,             0.33769,            0.042078,              0.0091,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.035713,            0.014434,                   0,             0.88795,             0.58727,             0.79595,             0.46842,            0.037916,           0.0091877,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.035069,            0.016657,                   0,             0.81352,              0.6467,             0.78439,             0.28961,            0.044445,           0.0081167,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.038529,            0.016596,                   0,             0.83762,             0.55556,             0.75553,             0.38496,            0.040281,           0.0082703,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.039546,            0.014125,                   0,             0.69466,             0.67431,             0.77526,             0.40348,            0.036027,           0.0081902,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.037611,               0.016,                   0,             0.95255,             0.74368,             0.89324,             0.49538,            0.039558,           0.0077763,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.032378,             0.01183,                   0,             0.60624,             0.77778,             0.77516,             0.45516,            0.043068,           0.0073195,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.037585,            0.015957,                   0,             0.79111,             0.74074,             0.87235,             0.48291,            0.037523,           0.0073662,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.034488,            0.014786,                   0,             0.61402,             0.81481,             0.76608,             0.46634,            0.038312,           0.0071373,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.034647,            0.013886,                   0,             0.87587,             0.85185,             0.90176,             0.42263,            0.039165,           0.0068197,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.03338,             0.01259,                   0,             0.89934,             0.77778,             0.90674,             0.46029,            0.036803,            0.006691,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.036693,            0.015605,                   0,             0.96733,             0.77778,             0.92958,             0.52177,            0.036941,           0.0064144,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.038043,             0.01172,                   0,             0.88967,             0.89621,             0.95759,              0.5683,            0.035466,           0.0061255,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.031806,           0.0086687,                   0,             0.69379,             0.77778,             0.79057,             0.41529,            0.038865,           0.0061045,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.029941,            0.010318,                   0,             0.79568,             0.88889,             0.86464,             0.41683,            0.038498,           0.0057459,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.032342,            0.010842,                   0,             0.76546,             0.74074,              0.8627,             0.51057,             0.03829,           0.0055027,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.030532,           0.0095891,                   0,             0.77448,              0.8904,             0.92712,             0.54963,            0.040457,           0.0053349,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.033988,           0.0097527,                   0,             0.87611,             0.92593,             0.96126,             0.62683,            0.030366,           0.0057669,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.029286,            0.013693,                   0,             0.99795,             0.96296,               0.983,             0.58129,            0.033811,           0.0055456,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.031467,            0.010931,                   0,             0.96066,             0.92593,             0.96488,             0.48027,             0.04014,           0.0054293,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032773,           0.0097607,                   0,             0.95109,             0.88889,             0.97422,             0.55059,             0.03047,           0.0055685,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.02779,           0.0080848,                   0,             0.99874,             0.96296,             0.98882,             0.60717,            0.034141,           0.0054111,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.031767,            0.010844,                   0,             0.92468,             0.96296,             0.97464,             0.49229,            0.035658,           0.0051994,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.030919,           0.0086218,                   0,             0.60977,             0.88889,             0.72371,             0.39123,            0.037597,           0.0050621,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.030932,           0.0090488,                   0,              0.9974,             0.96296,             0.98577,             0.65234,            0.032581,           0.0049925,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.038239,           0.0094804,                   0,             0.99028,             0.96296,             0.98955,             0.67946,            0.031036,            0.004962,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032338,           0.0080806,                   0,             0.96014,             0.88889,             0.97652,             0.63066,             0.03651,           0.0048294,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025873,           0.0078594,                   0,             0.98861,             0.96296,             0.98955,             0.71135,             0.02977,            0.004775,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.029166,           0.0073261,                   0,             0.92267,             0.96296,             0.98592,             0.66377,             0.02783,           0.0048265,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026388,           0.0071837,                   0,                   1,             0.99495,               0.995,             0.60948,            0.031337,           0.0045319,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.032069,           0.0084107,                   0,             0.92512,             0.96296,             0.96941,             0.56022,            0.033042,           0.0047245,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.029841,           0.0077201,                   0,              0.9199,             0.96296,               0.975,             0.62821,            0.037178,           0.0046816,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.030752,           0.0093761,                   0,             0.92158,             0.96296,             0.98558,             0.71938,            0.029575,           0.0047255,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.030921,            0.010582,                   0,                   1,             0.99752,               0.995,             0.71052,            0.027702,           0.0045223,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.031896,            0.008511,                   0,             0.92565,             0.92232,             0.95221,             0.62646,            0.039048,           0.0044956,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.028889,           0.0070223,                   0,              0.8647,             0.94715,             0.96895,             0.65245,            0.030672,           0.0045023,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.030795,            0.009328,                   0,             0.99725,                   1,               0.995,              0.6998,            0.028459,           0.0042915,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025339,           0.0063456,                   0,             0.99506,                   1,               0.995,             0.59809,            0.027591,           0.0041895,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.031282,            0.006306,                   0,             0.99781,                   1,               0.995,             0.66389,            0.033499,           0.0042114,                   0,            0.007888,            0.007888,            0.007888
