               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11485,            0.026708,                   0,           0.0015485,              0.2963,           0.0030281,          0.00080482,             0.10319,            0.018501,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10645,            0.024526,                   0,           0.0013485,             0.25926,           0.0032118,          0.00083976,            0.099575,            0.016426,                   0,            0.088257,           0.0012571,           0.0012571
                   2,            0.098956,            0.022123,                   0,            0.004704,              0.2963,            0.021038,           0.0073239,            0.094914,            0.015112,                   0,            0.081868,            0.001868,            0.001868
                   3,             0.08826,            0.022479,                   0,           0.0081151,             0.25926,            0.028254,            0.003906,            0.090698,            0.014513,                   0,            0.075433,           0.0024327,           0.0024327
                   4,            0.083387,            0.021659,                   0,            0.027049,             0.25926,            0.047047,            0.012803,            0.080532,            0.013784,                   0,            0.068951,           0.0029512,           0.0029512
                   5,            0.076751,            0.019422,                   0,            0.018842,             0.25926,            0.055957,            0.021314,            0.075784,            0.013178,                   0,            0.062423,           0.0034235,           0.0034235
                   6,            0.073501,            0.021444,                   0,             0.11394,             0.25926,             0.16261,            0.033277,            0.070658,            0.012604,                   0,             0.05585,           0.0038496,           0.0038496
                   7,            0.071033,            0.020837,                   0,             0.15695,             0.22222,             0.19203,            0.043866,            0.068224,            0.012537,                   0,             0.04923,           0.0042295,           0.0042295
                   8,            0.068056,            0.019287,                   0,             0.11912,             0.25926,              0.1912,            0.077447,            0.060985,            0.012735,                   0,            0.042563,           0.0045632,           0.0045632
                   9,            0.068913,            0.021638,                   0,            0.061156,              0.2963,             0.19759,            0.074914,            0.067102,            0.011814,                   0,            0.035851,           0.0048507,           0.0048507
                  10,             0.05226,            0.018072,                   0,            0.058146,              0.2963,             0.12293,            0.038603,            0.068745,            0.011326,                   0,            0.029092,            0.005092,            0.005092
                  11,            0.058169,            0.021642,                   0,             0.20322,             0.25926,             0.12471,            0.037724,            0.068513,             0.01075,                   0,            0.022287,           0.0052871,           0.0052871
                  12,            0.058247,            0.019455,                   0,             0.31135,             0.11111,             0.20128,             0.07972,            0.054865,            0.011959,                   0,            0.015436,            0.005436,            0.005436
                  13,            0.059248,            0.019127,                   0,             0.35545,             0.25926,             0.20831,            0.082989,            0.054052,            0.011963,                   0,           0.0085387,           0.0055387,           0.0055387
                  14,              0.0475,            0.018203,                   0,             0.53631,             0.21477,             0.32828,             0.11094,            0.050536,            0.011875,                   0,             0.00538,             0.00538,             0.00538
                  15,            0.052772,            0.022917,                   0,             0.57066,             0.25926,             0.38238,             0.17286,            0.047834,            0.012081,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.044503,            0.017553,                   0,             0.93784,             0.25926,             0.32213,            0.092757,            0.058228,            0.010897,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.045275,            0.020142,                   0,             0.44942,             0.25926,             0.41575,             0.19111,            0.045501,             0.01173,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.047194,            0.018318,                   0,              0.3623,             0.25926,             0.43518,             0.22978,            0.044168,            0.011415,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.041667,            0.018554,                   0,             0.37816,             0.25926,             0.48363,             0.23232,            0.040691,            0.011257,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.040412,            0.016652,                   0,             0.39986,             0.25926,             0.52472,             0.26619,            0.043616,            0.010761,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.042985,            0.021176,                   0,             0.78866,             0.25926,             0.47606,             0.24238,            0.038975,            0.010899,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.033701,            0.015727,                   0,             0.64984,             0.34419,             0.63064,             0.38302,             0.04024,            0.010584,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.038444,            0.018038,                   0,             0.67206,              0.5317,             0.69202,             0.41089,            0.034252,            0.010569,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.034707,            0.017268,                   0,              0.6524,             0.59259,             0.71436,              0.4546,            0.032314,            0.010469,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.036876,             0.01859,                   0,             0.78428,              0.6735,             0.82731,             0.49907,            0.031632,            0.010208,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.034282,            0.017683,                   0,             0.94995,             0.70294,             0.92374,             0.58672,            0.030662,           0.0099907,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.03256,            0.016049,                   0,             0.90224,              0.6841,             0.91592,             0.60344,            0.029024,           0.0099735,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03133,            0.015501,                   0,             0.90462,              0.7026,             0.92169,             0.60165,            0.028073,           0.0099163,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.028946,            0.017836,                   0,             0.90815,             0.73266,             0.93128,             0.61569,            0.026743,           0.0098667,                   0,             0.00076,             0.00076,             0.00076
